{'Time': 30.18199999999974, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2566, 'Block_id': 1818, 'Create_time': 30.179999999999737, 'Deadline': 0.2, 'Offset': 0, 'Payload': 365, 'Packet_size': 1500}
{'Time': 30.195000000000448, 'Cwnd': 11, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2568, 'Block_id': 916, 'Create_time': 30.195000000000448, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1052, 'Packet_size': 1500}
{'Time': 30.195000000000448, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2567, 'Block_id': 916, 'Create_time': 30.195000000000448, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.19600000000045, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2568, 'Block_id': 916, 'Create_time': 30.195000000000448, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1052, 'Packet_size': 1500}
{'Time': 30.196035342959572, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2567, 'Block_id': 916, 'Create_time': 30.195000000000448, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.19700000000045, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2568, 'Block_id': 916, 'Create_time': 30.195000000000448, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1052, 'Packet_size': 1500}
{'Time': 30.197035342959573, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2567, 'Block_id': 916, 'Create_time': 30.195000000000448, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.22800000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2569, 'Block_id': 917, 'Create_time': 30.22800000000045, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.22800000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2570, 'Block_id': 917, 'Create_time': 30.22800000000045, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1372, 'Packet_size': 1500}
{'Time': 30.22900000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2569, 'Block_id': 917, 'Create_time': 30.22800000000045, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.229035342959573, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2570, 'Block_id': 917, 'Create_time': 30.22800000000045, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1372, 'Packet_size': 1500}
{'Time': 30.23000000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2569, 'Block_id': 917, 'Create_time': 30.22800000000045, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.230035342959575, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2570, 'Block_id': 917, 'Create_time': 30.22800000000045, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1372, 'Packet_size': 1500}
{'Time': 30.23999999999974, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2571, 'Block_id': 1819, 'Create_time': 30.23999999999974, 'Deadline': 0.2, 'Offset': 0, 'Payload': 340, 'Packet_size': 1500}
{'Time': 30.24099999999974, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2571, 'Block_id': 1819, 'Create_time': 30.23999999999974, 'Deadline': 0.2, 'Offset': 0, 'Payload': 340, 'Packet_size': 1500}
{'Time': 30.24199999999974, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2571, 'Block_id': 1819, 'Create_time': 30.23999999999974, 'Deadline': 0.2, 'Offset': 0, 'Payload': 340, 'Packet_size': 1500}
{'Time': 30.261000000000447, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2573, 'Block_id': 918, 'Create_time': 30.261000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 533, 'Packet_size': 1500}
{'Time': 30.261000000000447, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2572, 'Block_id': 918, 'Create_time': 30.261000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.262000000000448, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2573, 'Block_id': 918, 'Create_time': 30.261000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 533, 'Packet_size': 1500}
{'Time': 30.26203534295957, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2572, 'Block_id': 918, 'Create_time': 30.261000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.26300000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2573, 'Block_id': 918, 'Create_time': 30.261000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 533, 'Packet_size': 1500}
{'Time': 30.263035342959572, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2572, 'Block_id': 918, 'Create_time': 30.261000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.294000000000448, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2575, 'Block_id': 919, 'Create_time': 30.294000000000448, 'Deadline': 0.2, 'Offset': 1, 'Payload': 310, 'Packet_size': 1500}
{'Time': 30.294000000000448, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2574, 'Block_id': 919, 'Create_time': 30.294000000000448, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.29500000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2575, 'Block_id': 919, 'Create_time': 30.294000000000448, 'Deadline': 0.2, 'Offset': 1, 'Payload': 310, 'Packet_size': 1500}
{'Time': 30.295035342959572, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2574, 'Block_id': 919, 'Create_time': 30.294000000000448, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.29600000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2575, 'Block_id': 919, 'Create_time': 30.294000000000448, 'Deadline': 0.2, 'Offset': 1, 'Payload': 310, 'Packet_size': 1500}
{'Time': 30.296035342959573, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2574, 'Block_id': 919, 'Create_time': 30.294000000000448, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.299999999999734, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2576, 'Block_id': 1820, 'Create_time': 30.299999999999734, 'Deadline': 0.2, 'Offset': 0, 'Payload': 426, 'Packet_size': 1500}
{'Time': 30.300999999999735, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2576, 'Block_id': 1820, 'Create_time': 30.299999999999734, 'Deadline': 0.2, 'Offset': 0, 'Payload': 426, 'Packet_size': 1500}
{'Time': 30.301999999999737, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2576, 'Block_id': 1820, 'Create_time': 30.299999999999734, 'Deadline': 0.2, 'Offset': 0, 'Payload': 426, 'Packet_size': 1500}
{'Time': 30.32700000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2578, 'Block_id': 920, 'Create_time': 30.32700000000045, 'Deadline': 0.2, 'Offset': 1, 'Payload': 587, 'Packet_size': 1500}
{'Time': 30.32700000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2577, 'Block_id': 920, 'Create_time': 30.32700000000045, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
