{'Time': 0.06723212722620561, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0012321272262056059, 'Drop': 0, 'Packet_id': 19, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1053, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.068, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 16, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.06807737574206854, 'Cwnd': 4, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0020773757420685353, 'Drop': 0, 'Packet_id': 18, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.06815475148413708, 'Cwnd': 5, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0021547514841370706, 'Drop': 0, 'Packet_id': 17, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.06823212722620561, 'Cwnd': 5, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002232127226205606, 'Drop': 0, 'Packet_id': 19, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1053, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.099, 'Cwnd': 5, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 21, 'Block_id': 4, 'Create_time': 0.099, 'Deadline': 0.2, 'Offset': 1, 'Payload': 251, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.099, 'Cwnd': 5, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 20, 'Block_id': 4, 'Create_time': 0.099, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.1, 'Cwnd': 5, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 21, 'Block_id': 4, 'Create_time': 0.099, 'Deadline': 0.2, 'Offset': 1, 'Payload': 251, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.10007737574206854, 'Cwnd': 5, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010773757420685353, 'Drop': 0, 'Packet_id': 20, 'Block_id': 4, 'Create_time': 0.099, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.101, 'Cwnd': 5, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 21, 'Block_id': 4, 'Create_time': 0.099, 'Deadline': 0.2, 'Offset': 1, 'Payload': 251, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.10107737574206854, 'Cwnd': 5, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0020773757420685353, 'Drop': 0, 'Packet_id': 20, 'Block_id': 4, 'Create_time': 0.099, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.12, 'Cwnd': 5, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 22, 'Block_id': 1317, 'Create_time': 0.12, 'Deadline': 0.2, 'Offset': 0, 'Payload': 340, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.121, 'Cwnd': 5, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 22, 'Block_id': 1317, 'Create_time': 0.12, 'Deadline': 0.2, 'Offset': 0, 'Payload': 340, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.122, 'Cwnd': 5, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 22, 'Block_id': 1317, 'Create_time': 0.12, 'Deadline': 0.2, 'Offset': 0, 'Payload': 340, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.132, 'Cwnd': 6, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 23, 'Block_id': 5, 'Create_time': 0.132, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.132, 'Cwnd': 6, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 24, 'Block_id': 5, 'Create_time': 0.132, 'Deadline': 0.2, 'Offset': 1, 'Payload': 387, 'Packet_size': 1500, 'Extra': {}}
