{'Time': 15.048999999999925, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1294, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1295, 'Packet_size': 1500}
{'Time': 15.04903534295905, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 1293, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.049070685918172, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.0010706859182474046, 'Drop': 0, 'Packet_id': 1292, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.049999999999924, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1294, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1295, 'Packet_size': 1500}
{'Time': 15.050035342959049, 'Cwnd': 7, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 1293, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.050070685918172, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0020706859182474044, 'Drop': 0, 'Packet_id': 1292, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.060000000000036, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1295, 'Block_id': 1566, 'Create_time': 15.060000000000036, 'Deadline': 0.2, 'Offset': 0, 'Payload': 315, 'Packet_size': 1500}
{'Time': 15.061000000000035, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1295, 'Block_id': 1566, 'Create_time': 15.060000000000036, 'Deadline': 0.2, 'Offset': 0, 'Payload': 315, 'Packet_size': 1500}
{'Time': 15.062000000000035, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1295, 'Block_id': 1566, 'Create_time': 15.060000000000036, 'Deadline': 0.2, 'Offset': 0, 'Payload': 315, 'Packet_size': 1500}
{'Time': 15.080999999999927, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1296, 'Block_id': 458, 'Create_time': 15.080999999999927, 'Deadline': 0.2, 'Offset': 0, 'Payload': 463, 'Packet_size': 1500}
{'Time': 15.081999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1296, 'Block_id': 458, 'Create_time': 15.080999999999927, 'Deadline': 0.2, 'Offset': 0, 'Payload': 463, 'Packet_size': 1500}
{'Time': 15.082999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1296, 'Block_id': 458, 'Create_time': 15.080999999999927, 'Deadline': 0.2, 'Offset': 0, 'Payload': 463, 'Packet_size': 1500}
{'Time': 15.113999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1297, 'Block_id': 459, 'Create_time': 15.113999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 428, 'Packet_size': 1500}
{'Time': 15.114999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1297, 'Block_id': 459, 'Create_time': 15.113999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 428, 'Packet_size': 1500}
{'Time': 15.115999999999925, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1297, 'Block_id': 459, 'Create_time': 15.113999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 428, 'Packet_size': 1500}
{'Time': 15.120000000000037, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1298, 'Block_id': 1567, 'Create_time': 15.120000000000037, 'Deadline': 0.2, 'Offset': 0, 'Payload': 330, 'Packet_size': 1500}
{'Time': 15.121000000000036, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1298, 'Block_id': 1567, 'Create_time': 15.120000000000037, 'Deadline': 0.2, 'Offset': 0, 'Payload': 330, 'Packet_size': 1500}
{'Time': 15.122000000000035, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1298, 'Block_id': 1567, 'Create_time': 15.120000000000037, 'Deadline': 0.2, 'Offset': 0, 'Payload': 330, 'Packet_size': 1500}
{'Time': 15.146999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1299, 'Block_id': 460, 'Create_time': 15.146999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 350, 'Packet_size': 1500}
{'Time': 15.147999999999925, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1299, 'Block_id': 460, 'Create_time': 15.146999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 350, 'Packet_size': 1500}
{'Time': 15.148999999999925, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1299, 'Block_id': 460, 'Create_time': 15.146999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 350, 'Packet_size': 1500}
{'Time': 15.179999999999927, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1300, 'Block_id': 461, 'Create_time': 15.179999999999927, 'Deadline': 0.2, 'Offset': 0, 'Payload': 579, 'Packet_size': 1500}
{'Time': 15.180000000000035, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1301, 'Block_id': 1568, 'Create_time': 15.180000000000035, 'Deadline': 0.2, 'Offset': 0, 'Payload': 383, 'Packet_size': 1500}
{'Time': 15.180999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1300, 'Block_id': 461, 'Create_time': 15.179999999999927, 'Deadline': 0.2, 'Offset': 0, 'Payload': 579, 'Packet_size': 1500}
{'Time': 15.181035342959051, 'Cwnd': 8, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.0010353429590153446, 'Drop': 0, 'Packet_id': 1301, 'Block_id': 1568, 'Create_time': 15.180000000000035, 'Deadline': 0.2, 'Offset': 0, 'Payload': 383, 'Packet_size': 1500}
{'Time': 15.181999999999926, 'Cwnd': 8, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1300, 'Block_id': 461, 'Create_time': 15.179999999999927, 'Deadline': 0.2, 'Offset': 0, 'Payload': 579, 'Packet_size': 1500}
{'Time': 15.18203534295905, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0020353429590153444, 'Drop': 0, 'Packet_id': 1301, 'Block_id': 1568, 'Create_time': 15.180000000000035, 'Deadline': 0.2, 'Offset': 0, 'Payload': 383, 'Packet_size': 1500}
{'Time': 15.212999999999926, 'Cwnd': 9, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1302, 'Block_id': 462, 'Create_time': 15.212999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 798, 'Packet_size': 1500}
{'Time': 15.213999999999926, 'Cwnd': 9, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1302, 'Block_id': 462, 'Create_time': 15.212999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 798, 'Packet_size': 1500}
{'Time': 15.214999999999925, 'Cwnd': 9, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1302, 'Block_id': 462, 'Create_time': 15.212999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 798, 'Packet_size': 1500}
